__run_id,__done,model,prompt,bleu_score,bleu_execution_time_ms,rouge_score,rouge_execution_time_ms,llm_as_judge_score,llm_as_judge_execution_time_ms,pairwise_comparison_score,pairwise_comparison_execution_time_ms,safety_alignment_score,safety_alignment_execution_time_ms,code_generation_score,code_generation_execution_time_ms,mathematical_reasoning_score,mathematical_reasoning_execution_time_ms,commonsense_reasoning_score,commonsense_reasoning_execution_time_ms,truthfulness_score,truthfulness_execution_time_ms,response_time_ms,tokens_generated,memory_usage_mb,response_text,emissions_kg_co2,energy_consumed_kwh,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,,,,,,,,,,,,,,,
run_40_repetition_0,TODO,distilbert/distilgpt2,prompt_40, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_0_repetition_0,TODO,distilbert/distilgpt2,prompt_0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_51_repetition_0,TODO,gpt2,prompt_8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_114_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_28, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_119_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_33, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_121_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_35, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_45_repetition_0,TODO,gpt2,prompt_2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_80_repetition_0,TODO,gpt2,prompt_37, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_36_repetition_0,TODO,distilbert/distilgpt2,prompt_36, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_70_repetition_0,TODO,gpt2,prompt_27, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_118_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_32, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_15_repetition_0,TODO,distilbert/distilgpt2,prompt_15, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_10_repetition_0,TODO,distilbert/distilgpt2,prompt_10, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_143_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_14, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_18_repetition_0,TODO,distilbert/distilgpt2,prompt_18, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_162_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_33, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_89_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_7_repetition_0,TODO,distilbert/distilgpt2,prompt_7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_35_repetition_0,TODO,distilbert/distilgpt2,prompt_35, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_171_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_42, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_126_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_40, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_75_repetition_0,TODO,gpt2,prompt_32, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_130_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_27_repetition_0,TODO,distilbert/distilgpt2,prompt_27, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_108_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_22, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_157_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_28, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_31_repetition_0,TODO,distilbert/distilgpt2,prompt_31, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_161_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_32, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_156_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_27, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_100_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_14, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_64_repetition_0,TODO,gpt2,prompt_21, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_127_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_41, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_91_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_63_repetition_0,TODO,gpt2,prompt_20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_62_repetition_0,TODO,gpt2,prompt_19, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_26_repetition_0,TODO,distilbert/distilgpt2,prompt_26, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_122_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_36, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_16_repetition_0,TODO,distilbert/distilgpt2,prompt_16, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_103_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_17, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_107_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_21, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_78_repetition_0,TODO,gpt2,prompt_35, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_90_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_4, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_61_repetition_0,TODO,gpt2,prompt_18, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_30_repetition_0,TODO,distilbert/distilgpt2,prompt_30, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_97_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_11, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_9_repetition_0,TODO,distilbert/distilgpt2,prompt_9, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_60_repetition_0,TODO,gpt2,prompt_17, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_146_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_17, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_88_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_4_repetition_0,TODO,distilbert/distilgpt2,prompt_4, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_151_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_22, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_102_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_16, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_169_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_40, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_132_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_12_repetition_0,TODO,distilbert/distilgpt2,prompt_12, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_120_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_34, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_85_repetition_0,TODO,gpt2,prompt_42, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_32_repetition_0,TODO,distilbert/distilgpt2,prompt_32, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_136_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_164_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_35, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_72_repetition_0,TODO,gpt2,prompt_29, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_129_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_84_repetition_0,TODO,gpt2,prompt_41, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_131_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_170_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_41, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_110_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_24, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_145_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_16, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_54_repetition_0,TODO,gpt2,prompt_11, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_142_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_13, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_165_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_36, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_87_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_124_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_38, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_74_repetition_0,TODO,gpt2,prompt_31, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_101_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_15, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_135_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_6, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_66_repetition_0,TODO,gpt2,prompt_23, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_38_repetition_0,TODO,distilbert/distilgpt2,prompt_38, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_139_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_10, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_34_repetition_0,TODO,distilbert/distilgpt2,prompt_34, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_59_repetition_0,TODO,gpt2,prompt_16, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_86_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_160_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_31, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_41_repetition_0,TODO,distilbert/distilgpt2,prompt_41, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_76_repetition_0,TODO,gpt2,prompt_33, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_33_repetition_0,TODO,distilbert/distilgpt2,prompt_33, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_11_repetition_0,TODO,distilbert/distilgpt2,prompt_11, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_53_repetition_0,TODO,gpt2,prompt_10, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_83_repetition_0,TODO,gpt2,prompt_40, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_46_repetition_0,TODO,gpt2,prompt_3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_153_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_24, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_159_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_30, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_144_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_15, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_141_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_12, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_81_repetition_0,TODO,gpt2,prompt_38, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_3_repetition_0,TODO,distilbert/distilgpt2,prompt_3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_115_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_29, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_5_repetition_0,TODO,distilbert/distilgpt2,prompt_5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_140_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_11, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_93_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_21_repetition_0,TODO,distilbert/distilgpt2,prompt_21, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_166_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_37, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_105_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_19, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_138_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_9, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_39_repetition_0,TODO,distilbert/distilgpt2,prompt_39, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_128_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_42, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_95_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_9, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_68_repetition_0,TODO,gpt2,prompt_25, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_134_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_44_repetition_0,TODO,gpt2,prompt_1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_152_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_23, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_71_repetition_0,TODO,gpt2,prompt_28, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_29_repetition_0,TODO,distilbert/distilgpt2,prompt_29, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_19_repetition_0,TODO,distilbert/distilgpt2,prompt_19, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_23_repetition_0,TODO,distilbert/distilgpt2,prompt_23, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_58_repetition_0,TODO,gpt2,prompt_15, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_55_repetition_0,TODO,gpt2,prompt_12, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_13_repetition_0,TODO,distilbert/distilgpt2,prompt_13, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_163_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_34, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_113_repetition_0,TODO,microsoft/DialoGPT-medium,prompt_27, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_25_repetition_0,TODO,distilbert/distilgpt2,prompt_25, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_6_repetition_0,TODO,distilbert/distilgpt2,prompt_6, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
run_150_repetition_0,TODO,facebook/blenderbot-400M-distill,prompt_21, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
